site_id,site_name,pos_sales,eo_pct,utilization,epp_pct,exam_slots,asp,appts_created,ar,ar_pct,eo,epp,cl_exam,comp_exam,mas,mas_pct,ri,ri_pct,total_exam,warranty_cnt,date,Region,District,State,City,opening_date,Quad,sq_footage,dma,nearest_competitor,competitor_ct_1mi,median_hh_income_1mi,pop_1mi,avg_customer_age,is_medicaid,is_acuity,is_tele_opt,property_type,vintage,exam_lanes,office_status,media_market,vintage_cohort,pos_sales_dq_flag,utilization_dq_flag,asp_dq_flag,eo_pct_dq_flag,epp_pct_dq_flag,ri_pct_dq_flag,mas_pct_dq_flag,office_age_yrs,exams_per_lane,pos_sales_roll_mean,pos_sales_roll_std,pos_sales_wow_delta,pos_sales_wow_pct_chg,pos_sales_4w_trend,utilization_roll_mean,utilization_roll_std,utilization_wow_delta,utilization_wow_pct_chg,utilization_4w_trend,asp_roll_mean,asp_roll_std,asp_wow_delta,asp_wow_pct_chg,asp_4w_trend,eo_pct_roll_mean,eo_pct_roll_std,eo_pct_wow_delta,eo_pct_wow_pct_chg,eo_pct_4w_trend,epp_pct_roll_mean,epp_pct_roll_std,epp_pct_wow_delta,epp_pct_wow_pct_chg,epp_pct_4w_trend,ri_pct_roll_mean,ri_pct_roll_std,ri_pct_wow_delta,ri_pct_wow_pct_chg,ri_pct_4w_trend,mas_pct_roll_mean,mas_pct_roll_std,mas_pct_wow_delta,mas_pct_wow_pct_chg,mas_pct_4w_trend,has_min_history,pos_sales_zscore,pos_sales_flag,utilization_zscore,utilization_flag,asp_zscore,asp_flag,eo_pct_zscore,eo_pct_flag,epp_pct_zscore,epp_pct_flag,ri_pct_zscore,ri_pct_flag,mas_pct_zscore,mas_pct_flag,anomaly_score,pos_sales_direction,utilization_direction,asp_direction,eo_pct_direction,epp_pct_direction,ri_pct_direction,mas_pct_direction,primary_driver,anomaly_type,alert_tier
MED-853,MED-853 MI-Three Rivers,6000,0.0,0.0,0.6190476190476191,0,0.0,102,13,0.6842105263157895,0,13,0,0,3,0.0,0,0.0,0,21,2026-02-28,Region 1,District 106,MI,Three Rivers,2021-05-03 00:00:00,"3. Low Supply, High Demand",4481.0,Grand Rapids-Kalamazoo-Battle Creek MI,Vision Source,4.0,47770.0,2415.44,45.0,1.0,1.0,0.0,Free Standing,RX Optical,1.0,Active,,Acquisition,0,0,0,0,0,0,0,4.8,0.0,29103.75,3627.6540973472,-22646.0,-0.7905466731829924,-6399.0,0.9548611111111112,0.039892796156513484,-0.9861111111111112,-1.0,-0.3148148148148148,423.1203197692945,46.56644342196034,-403.46478873239437,-1.0,-123.51470588235294,0.3121202791461412,0.029718195920758615,-0.27586206896551724,-1.0,-0.1130952380952381,0.715341446923597,0.03879670406739654,-0.0876190476190476,-0.12398921832884091,-0.046524356869184436,0.7735472541507025,0.13035982444349314,-0.603448275862069,-1.0,-0.25,0.8126984126984127,0.18433212436678062,-0.7222222222222223,-1.0,-0.3333333333333333,True,-6.368785275557312,1,-23.935677693908815,1,-9.086378273195642,1,-10.502665773467104,1,-2.48201052616993,1,-5.933939060235622,1,-4.408881064492701,1,7,below_normal,below_normal,below_normal,below_normal,below_normal,below_normal,below_normal,utilization,Medicaid Payer Mix Shift,Critical Alert
MED-573,MED-573 IN-Geist,40193,0.24050632911392406,0.9583333333333333,0.7571428571428571,96,436.8804347826087,136,62,0.8857142857142857,19,53,16,79,9,0.5625,73,0.9240506329113924,92,70,2026-02-28,Region 1,District 104,IN,Indianapolis,2019-08-05 00:00:00,"3. Low Supply, High Demand",3138.0,Indianapolis IN,Potter Family Eye Care,0.0,141769.0,8050.1,49.0,0.0,1.0,0.0,Office Building,2019 Vintage,1.0,Active,"Indianapolis, IN",Growth Era (2016-2019),0,0,0,0,0,0,0,6.6,92.0,28770.0,3698.4085766718626,8916.0,0.2850657032324071,3342.6666666666665,0.8109473116169543,0.06667448590333075,0.07921245421245415,0.09010416666666665,0.054138321995464866,388.45343650735174,10.881811013685425,45.91793478260871,0.11744843759339751,16.716555183946486,0.3320489393129191,0.05526393611070826,-0.021032132424537497,-0.08041697691734928,-0.029283959947099942,0.5759363221319743,0.023293891454974503,0.17018633540372663,0.28994708994708973,0.05366300366300366,0.9598867163130607,0.015582770082710229,-0.014410905550145903,-0.015355882963270173,-0.01536620693998362,0.4493107769423559,0.04662614097940971,0.16249999999999998,0.40625,0.02876984126984126,True,3.0886257597529614,1,2.2105310557635094,1,4.450270108013557,1,-1.6564620011070337,0,7.7791439597433785,1,-2.2997248378470228,1,2.427591490096273,1,6,above_normal,above_normal,above_normal,normal,above_normal,below_normal,above_normal,epp_pct,Pricing / Mix Issue,Critical Alert
MED-031,MED-031 MD-Bethesda,32675,0.4035087719298246,0.7125,0.47916666666666663,80,573.2456140350877,162,48,1.0,23,23,22,57,8,0.36363636363636365,39,0.6842105263157895,57,48,2026-02-28,Region 2,District 201,MD,Bethesda,2007-04-09 00:00:00,"1. High Supply, High Demand",1694.0,Washington DC (Hagerstown MD),LensCrafters,7.0,171335.0,25169.2,43.0,0.0,1.0,0.0,Urban,pre2013,1.0,Active,"Washington, DC - MD - PA - VA - WV",Legacy (pre-2016),0,0,0,0,0,0,0,18.9,57.0,52544.75,8690.290266536935,-26901.0,-0.4515408889485699,-9190.0,0.7174467210887572,0.06518876675464055,-0.031686046511627874,-0.04257812499999991,-0.010620300751879697,637.5568572182378,46.249257503008046,-47.3377192982457,-0.07627939191338096,-11.763246500088636,0.2886018033332195,0.04586384575196151,0.08771929824561409,0.2777777777777779,0.04859227105564599,0.23598443452414397,0.06224576748586483,0.20519406392694062,0.7489583333333334,0.0631038647342995,0.7717893383520079,0.032712522237095504,-0.04210526315789476,-0.05797101449275366,-0.029661783324290075,0.7346982758620689,0.03650923984058927,-0.4113636363636364,-0.530791788856305,-0.12878787878787878,True,-2.2864311076594293,1,-0.07588302916322644,0,-1.3905356897668546,0,2.505393228863516,1,3.906807514225703,1,-2.677225907603828,1,-10.163506932652593,1,5,below_normal,normal,normal,above_normal,above_normal,below_normal,below_normal,mas_pct,Low Exam Conversion,Critical Alert
MED-376,MED-376 IN-Michigan City,5893,0.0,0.0,0.6428571428571429,0,0.0,116,10,0.7142857142857143,0,9,0,0,1,0.0,1,0.0,0,14,2026-02-28,Region 1,District 105,IN,Michigan City,2018-07-30 00:00:00,"4. Low Supply, Low Demand",4000.0,Chicago IL,HealthLinc Michigan City,2.0,66594.8,6563.65,43.0,1.0,1.0,0.0,Free Standing,2018 Vintage,2.0,Active,"Chicago, IL - IN",Growth Era (2016-2019),0,0,0,0,0,0,0,7.6,0.0,20283.25,2558.24788673811,-14096.0,-0.7051878533193257,-4692.0,0.7359523809523809,0.058961150205539194,-0.8095238095238095,-1.0,-0.22333333333333336,299.82016461808604,11.05078120157852,-293.95588235294116,-1.0,-99.34825870646766,0.2613092082007777,0.0549262686467001,-0.275,-1.0,-0.11111111111111112,0.5801933811802233,0.06638733530142873,0.006493506493506551,0.010204081632653184,0.05054302422723476,0.4211352657004831,0.30862429527647994,-0.6,-1.0,-0.12962962962962962,0.5687229437229437,0.2836922579170544,-0.8333333333333333,-1.0,-0.06060606060606061,True,-5.6250412927530125,1,-12.481988197089832,1,-27.13112848304869,1,-4.757454213421738,1,0.9439113859954997,0,-1.3645564271704878,0,-2.0047178865530633,1,5,below_normal,below_normal,below_normal,below_normal,normal,normal,below_normal,asp,Medicaid Payer Mix Shift,Critical Alert
MED-698,MED-698 WI-Downtown Racine,1725,0.0,0.0,0.4,0,0.0,67,5,0.5,0,4,0,0,0,0.0,0,0.0,0,10,2026-02-28,Region 1,District 111,WI,Racine,2020-08-24 00:00:00,"4. Low Supply, Low Demand",4200.0,Milwaukee WI,Herslof Opticians,1.0,31985.3,11347.3,47.0,1.0,1.0,0.0,Urban,2020 Vintage,1.0,Active,,Post-COVID (2020-2022),0,0,0,0,0,0,0,5.5,0.0,14995.25,3138.9237407111386,-17492.0,-0.9102357287818078,-4079.0,0.7190504807692307,0.15309428844594666,-0.923076923076923,-1.0,-0.21875,324.806522289767,5.675396473484471,-320.28333333333336,-1.0,-110.80952380952381,0.30241042202478374,0.07910840909329038,-0.36170212765957444,-1.0,-0.0625,0.5691827806391374,0.10547839485357727,-0.24705882352941166,-0.3818181818181817,-0.0796296296296296,0.8576356821370119,0.07036360307954335,-0.8297872340425532,-1.0,-0.3020833333333333,0.17094017094017094,0.22024100387564274,-0.4615384615384615,-1.0,-0.07407407407407407,True,-4.227643324967672,1,-4.696781885648905,1,-57.23063116511197,1,-3.8227342136050217,1,-1.6039567237820893,0,-12.188626571147696,1,-0.7761505257063344,0,5,below_normal,below_normal,below_normal,below_normal,normal,below_normal,normal,asp,Medicaid Payer Mix Shift,Critical Alert
MED-321,MED-321 TN-Chattanooga-Market Street,66444,0.2913385826771654,0.6390977443609023,0.5530303030303031,266,390.84705882352944,371,77,0.5923076923076923,37,73,44,127,33,0.75,103,0.8110236220472441,170,132,2026-02-28,Region 1,District 103,TN,Chattanooga,2018-01-29 00:00:00,"2. High Supply, Low Demand",5900.0,Chattanooga TN,Vision Source,2.0,58891.7,10363.7,41.0,1.0,1.0,0.0,Urban,2018 Vintage,3.0,Active,"Chattanooga, TN - GA",Growth Era (2016-2019),0,0,0,0,0,0,0,8.1,56.666666666666664,59372.5,2458.7153149561477,7491.0,0.12706732481807537,2213.0,0.6616611794205505,0.033187109264440476,-0.04119965340861442,-0.06056123916348244,-0.015037593984962405,343.06275620766957,23.891894140841952,68.69951783992286,0.21325482612769298,20.74938590820945,0.3171214611334555,0.07693408721106199,-0.03008998875140606,-0.0936132983377077,-0.04298375746509945,0.4429102633742993,0.03154811664725595,0.13636363636363646,0.3272727272727276,0.030748663101604307,0.7067353412542852,0.03727267625200038,0.08245219347581545,0.11316967731974659,0.04087260831526496,0.43782051282051276,0.049304832110333346,0.3,0.6666666666666665,0.1217948717948718,True,2.8760954783925943,1,-0.6798855206055745,0,2.0000215275596376,1,-0.3351294515987047,0,3.490542427215922,1,2.7979820951912977,1,6.331620529219091,1,5,above_normal,normal,above_normal,normal,above_normal,above_normal,above_normal,mas_pct,Medicaid Payer Mix Shift,Critical Alert
MED-581,MED-581 PA-Dallastown,57395,0.4108527131782946,0.7184466019417475,0.6363636363636364,206,387.80405405405406,353,97,0.9065420560747665,53,70,28,129,18,0.6428571428571429,105,0.813953488372093,148,110,2026-02-28,Region 5,District 503,PA,Dallastown,2019-08-26 00:00:00,"1. High Supply, High Demand",2170.0,Harrisburg-Lancaster-Lebanon-York PA,LEADER HEIGHTS EYE CENTER,1.0,93064.2,5067.8,50.0,0.0,1.0,0.0,Free Standing,2019 Vintage,6.0,Active,"Harrisburg - Lancaster - Lebanon - York, PA",Growth Era (2016-2019),0,0,0,0,0,0,0,6.5,24.666666666666668,78364.0,6560.536614231107,-14835.0,-0.20538557386127643,-9982.666666666666,0.8757532044495707,0.040044807953975387,-0.12929002357265573,-0.15251201809784154,-0.04861303744798895,348.86244719151296,9.035122012446678,37.172986092889005,0.10601737692281787,8.960855483582767,0.3809657703010306,0.004581164214863949,0.025795241913926792,0.06699062825407864,0.009454744638540588,0.6455985155840507,0.02132350874297802,-0.013636363636363669,-0.020979020979021046,-0.0057437116260645365,0.7587582343808259,0.09232534588035891,-0.06535685645549316,-0.07432740538075688,0.028614296431250647,0.5392844184117769,0.049690930625916854,0.10439560439560447,0.19387755102040827,0.0283882783882784,True,-3.196232447588826,1,-3.9282646251823734,1,4.310025565664261,1,6.523875040386766,1,-0.43308441081280474,0,0.5978342508761642,0,2.084338593396086,1,5,below_normal,below_normal,above_normal,above_normal,normal,normal,above_normal,eo_pct,Pricing / Mix Issue,Critical Alert
MED-765,MED-765 CT-Buckland,28615,0.18,0.5409836065573771,0.5652173913043478,122,433.56060606060606,188,46,0.7076923076923077,9,39,13,50,6,0.4615384615384615,45,0.9,66,69,2026-02-28,Region 5,District 510,CT,Manchester,2021-01-25 00:00:00,"1. High Supply, High Demand",1800.0,Hartford & New Haven CT,BJ's Optical,7.0,96695.0,6426.34,46.0,1.0,1.0,0.0,Office Building,2021 Vintage,7.0,Active,,Post-COVID (2020-2022),0,0,0,0,0,0,0,5.1,9.428571428571429,41738.5,3195.851112510317,-14213.0,-0.33186233305314283,-2805.3333333333335,0.6102705956246127,0.020765420668867874,-0.054522011420151006,-0.09155583049798943,-0.022126118877602335,391.8551886065923,19.422706900842886,29.522870211549446,0.07306958630858884,19.836700336700346,0.33046622019428906,0.06876319302112793,-0.13395348837209303,-0.42666666666666664,-0.0708016877637131,0.6054385425016222,0.055043121794006646,0.0042417815482502785,0.007561436672967936,0.0009057971014492608,0.7955365027965853,0.041229056368183754,0.06279069767441858,0.07499999999999996,0.04261603375527423,0.5325589265806657,0.07740934128017044,-0.10367892976588627,-0.18343195266272183,0.01495726495726496,True,-4.106417832992098,1,-3.3366523208033394,1,2.147250518011156,1,-2.1881796580920456,1,-0.7307207492299955,0,2.533734856081467,1,-0.9174663402076666,0,5,below_normal,below_normal,above_normal,below_normal,normal,above_normal,normal,pos_sales,Medicaid Payer Mix Shift,Critical Alert
MED-1192,MED-1192 FL-Weston,41728,0.2898550724637681,0.6,0.9166666666666667,125,556.3733333333333,130,56,0.9491525423728814,20,55,21,69,5,0.2380952380952381,60,0.8695652173913043,75,60,2026-02-28,Region 3,District 302,FL,Weston,2024-10-28 00:00:00,,1813.0,Miami-Ft. Lauderdale FL,"Weston Town Center Optometry, now part of MyEyeDr.",4.0,,,46.0,,1.0,,,2024 Acquisition,,Active,,Recent (2023+),0,0,0,0,0,0,0,1.3,,34062.0,3105.5493341221736,6149.0,0.17282666741617247,2859.0,0.741162476410268,0.056617330586005106,-0.14590163934426237,-0.1956043956043957,-0.04107142857142857,399.7014823593255,33.500420176487744,165.39531135531138,0.42302968979828925,49.03390946502058,0.4418498168498169,0.03753323332792351,-0.11923583662714093,-0.2914653784219001,-0.06355480268523746,0.8482517482517482,0.01861010131115076,0.08333333333333348,0.10000000000000009,0.014957264957264979,0.9193618881118881,0.05116999821295359,-0.028162055335968383,-0.03137039075399006,0.00414078674948241,0.17353535353535354,0.07452163535036194,-0.04190476190476192,-0.1496598639455783,0.023809523809523808,True,2.468484372722709,1,-2.4932732601342584,1,4.676713012810744,1,-4.049604334859412,1,3.676224931345529,1,-0.9731614707771843,0,0.866324044773811,0,5,above_normal,below_normal,above_normal,below_normal,above_normal,normal,normal,asp,Pricing / Mix Issue,Critical Alert
MED-1160,MED-1160 PA-Horsham,3374,0.5555555555555556,0.4242424242424242,0.4,33,241.0,50,9,0.9,5,4,2,9,1,0.5,4,0.4444444444444444,14,10,2026-02-28,Region 5,District 505,PA,Horsham,2024-02-26 00:00:00,"4. Low Supply, Low Demand",2560.0,Philadelphia PA,"Primary Eyecare Associates, PC, now part of MyEyeDr.",1.0,167033.0,2764.98,46.0,1.0,1.0,,Free Standing,2024 Acquisition,3.0,Active,,Recent (2023+),0,0,0,0,0,0,0,2.0,4.666666666666667,18584.25,1337.2873974330794,-13853.0,-0.8041446566436408,-4844.0,0.5712102913189869,0.00873387983634968,-0.15600448933782274,-0.2688588007736945,-0.04788627010849237,412.4204041718224,66.25697932843384,-125.531914893617,-0.3424856330179369,-49.42028985507246,0.2712764416111272,0.051769306669737745,0.23202614379084974,0.7171717171717173,0.09323116219667944,0.624057729904504,0.12378378194863754,-0.24102564102564095,-0.3759999999999999,-0.04946236559139783,0.8096624166908142,0.04804526285074913,-0.34967320261437906,-0.4403292181069959,-0.1162196679438059,0.47790404040404044,0.2690342223863336,0.2777777777777778,1.25,-0.08333333333333333,True,-11.373957482285443,1,-16.827328727937694,1,-2.587205241007089,1,5.491267552760302,1,-1.81007339069244,0,-7.601539685211135,1,0.08213066501342614,0,5,below_normal,below_normal,below_normal,above_normal,normal,below_normal,normal,utilization,Medicaid Payer Mix Shift,Critical Alert
